Title,Author,Subject,PublishDate
The Great Gatsby,F. Scott Fitzgerald,Classic,1925-04-10
To Kill a Mockingbird,Harper Lee,Fiction,1960-07-11
1984,George Orwell,Dystopian,1949-06-08
Pride and Prejudice,Jane Austen,Romance,1813-01-28
The Catcher in the Rye,J.D. Salinger,Coming of Age,1951-07-16
The Hobbit,J.R.R. Tolkien,Fantasy,1937-09-21
Brave New World,Aldous Huxley,Science Fiction,1932-03-11
Moby-Dick,Herman Melville,Adventure,1851-10-18
The Lord of the Rings,J.R.R. Tolkien,Fantasy,1954-07-29
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,1997-06-26
The Alchemist,Paulo Coelho,Fiction,1988-01-01
The Da Vinci Code,Dan Brown,Mystery,2003-03-18
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction,1979-10-12
Jane Eyre,Charlotte Brontë,Gothic Fiction,1847-10-16
The Shining,Stephen King,Horror,1977-01-28
The Girl with the Dragon Tattoo,Stieg Larsson,Mystery,2005-08-23
The Great Expectations,Charles Dickens,Classic,1861-12-19
The Road,Cormac McCarthy,Post-Apocalyptic,2006-09-26
One Hundred Years of Solitude,Gabriel García Márquez,Magic Realism,1967-05-30
The Grapes of Wrath,John Steinbeck,Fiction,1939-04-14
The Silence of the Lambs,Thomas Harris,Thriller,1988-05-13
The Odyssey,Homer,Epic Poetry,-800-01-01
The Count of Monte Cristo,Alexandre Dumas,Adventure,1844-08-28
Dracula,Bram Stoker,Horror,1897-05-26
The Picture of Dorian Gray,Oscar Wilde,Classic,1890-07-20
Wuthering Heights,Emily Brontë,Gothic Fiction,1847-12-19
Frankenstein,Mary Shelley,Science Fiction,1818-01-01
The War of the Worlds,H.G. Wells,Science Fiction,1898-01-01
The Metamorphosis,Franz Kafka,Novella,1915-10-15
Crime and Punishment,Fyodor Dostoevsky,Philosophical Fiction,1866-12-22
